,V0226,V0227,V02270,V02271,V02272,V02273,V02274,V2027
1403,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1404,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1409,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
1412,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1413,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
1414,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
1418,2.0,,2.0,0.0,1.0,3.0,3.0,3.0
1419,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
1420,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1421,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
1423,2.0,,2.0,0.0,1.0,3.0,3.0,3.0
1424,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1427,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
1429,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
1431,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1432,2.0,,2.0,1.0,3.0,1.0,3.0,1.0
1434,2.0,,2.0,2.0,1.0,1.0,3.0,1.0
1435,2.0,,2.0,1.0,1.0,1.0,3.0,3.0
1436,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1437,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1438,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1441,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1445,2.0,,1.0,1.0,1.0,1.0,3.0,3.0
1453,2.0,,1.0,2.0,3.0,1.0,3.0,1.0
1460,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1464,2.0,,2.0,1.0,1.0,1.0,3.0,1.0
1469,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1474,2.0,,0.0,2.0,1.0,3.0,3.0,3.0
1484,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
1485,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1488,2.0,,2.0,0.0,3.0,3.0,3.0,1.0
1491,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
1492,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
1493,2.0,,2.0,0.0,3.0,3.0,3.0,1.0
1494,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1495,2.0,,0.0,1.0,1.0,1.0,3.0,3.0
1496,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
1499,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
1501,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1503,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
1504,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
1506,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1512,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1516,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
1520,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1526,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
1528,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
1534,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1537,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1538,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1540,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1542,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
1543,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1546,2.0,,1.0,1.0,3.0,3.0,3.0,1.0
1548,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
1551,2.0,,1.0,1.0,3.0,3.0,3.0,1.0
1555,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1557,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1558,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
1560,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
1567,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
1570,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
1571,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1572,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1573,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1577,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1578,2.0,,2.0,0.0,3.0,1.0,1.0,1.0
1580,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
1584,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
1595,2.0,,1.0,1.0,3.0,3.0,3.0,1.0
1596,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
1598,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1600,4.0,3.0,,,,,,3.0
1606,4.0,3.0,,,,,,3.0
1609,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
1610,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
1614,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
